,time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),precipitation (mm),rain (mm),direct_radiation (W/m²),windspeed_10m (km/h),winddirection_10m (°),et0_fao_evapotranspiration (mm),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),year
2400,1992-04-10 00:00:00,5.3,68,-0.2,999.0,0.0,0.0,0.0,9.8,24.0,0.02,5.7,0.345,1992
2401,1992-04-10 01:00:00,5.0,69,-0.2,998.6,0.0,0.0,0.0,10.1,27.0,0.02,5.2,0.345,1992
2402,1992-04-10 02:00:00,5.2,69,0.0,998.6,0.0,0.0,0.0,10.6,28.0,0.02,5.3,0.345,1992
2403,1992-04-10 03:00:00,4.6,73,0.2,998.2,0.0,0.0,0.0,10.5,31.0,0.01,4.9,0.345,1992
2404,1992-04-10 04:00:00,4.8,75,0.6,998.0,0.0,0.0,0.0,10.5,31.0,0.01,4.9,0.345,1992
2405,1992-04-10 05:00:00,4.8,75,0.8,997.7,0.0,0.0,0.0,10.5,31.0,0.01,4.9,0.345,1992
2406,1992-04-10 06:00:00,5.0,76,1.1,997.9,0.0,0.0,4.0,11.8,31.0,0.03,4.8,0.345,1992
2407,1992-04-10 07:00:00,6.7,70,1.6,997.6,0.0,0.0,73.0,12.5,33.0,0.06,5.6,0.345,1992
2408,1992-04-10 08:00:00,6.5,69,1.1,997.4,0.0,0.0,194.0,15.4,37.0,0.12,5.1,0.345,1992
2409,1992-04-10 09:00:00,9.6,54,0.8,997.3,0.0,0.0,361.0,19.1,43.0,0.22,8.1,0.344,1992
2410,1992-04-10 10:00:00,11.1,48,0.4,997.1,0.0,0.0,502.0,23.9,45.0,0.29,9.8,0.343,1992
2411,1992-04-10 11:00:00,13.5,37,-1.1,997.1,0.0,0.0,527.0,22.4,45.0,0.37,11.8,0.341,1992
2412,1992-04-10 12:00:00,13.2,36,-1.4,996.5,0.0,0.0,438.0,23.7,47.0,0.36,11.6,0.339,1992
2413,1992-04-10 13:00:00,13.7,34,-1.8,995.8,0.0,0.0,439.0,23.4,47.0,0.38,11.9,0.338,1992
2414,1992-04-10 14:00:00,13.9,32,-2.4,995.6,0.0,0.0,485.0,23.5,50.0,0.37,12.2,0.337,1992
2415,1992-04-10 15:00:00,14.1,32,-2.5,995.2,0.0,0.0,205.0,23.7,49.0,0.32,12.2,0.336,1992
2416,1992-04-10 16:00:00,13.7,34,-1.9,995.0,0.0,0.0,272.0,23.5,49.0,0.28,12.0,0.335,1992
2417,1992-04-10 17:00:00,13.6,35,-1.6,995.2,0.0,0.0,175.0,19.6,43.0,0.22,11.6,0.334,1992
2418,1992-04-10 18:00:00,12.3,36,-2.3,995.1,0.0,0.0,54.0,17.4,34.0,0.14,10.9,0.334,1992
2419,1992-04-10 19:00:00,11.2,41,-1.6,995.5,0.0,0.0,2.0,17.2,29.0,0.11,10.7,0.334,1992
2420,1992-04-10 20:00:00,11.4,41,-1.3,995.9,0.0,0.0,0.0,17.4,27.0,0.09,11.2,0.334,1992
2421,1992-04-10 21:00:00,10.3,45,-1.1,996.5,0.0,0.0,0.0,16.8,28.0,0.08,10.2,0.334,1992
2422,1992-04-10 22:00:00,8.6,48,-1.9,996.4,0.0,0.0,0.0,15.3,30.0,0.07,8.7,0.334,1992
2423,1992-04-10 23:00:00,6.7,58,-1.1,995.5,0.0,0.0,0.0,12.6,24.0,0.04,6.9,0.334,1992
6552,1992-09-30 00:00:00,16.5,78,12.7,991.3,0.0,0.0,0.0,6.9,276.0,0.01,17.2,0.155,1992
6553,1992-09-30 01:00:00,15.5,83,12.7,991.5,0.0,0.0,0.0,6.4,297.0,0.0,16.8,0.155,1992
6554,1992-09-30 02:00:00,15.6,83,12.8,991.5,0.2,0.2,0.0,7.1,294.0,0.0,16.7,0.155,1992
6555,1992-09-30 03:00:00,15.2,85,12.7,991.7,0.2,0.2,0.0,7.7,298.0,0.0,16.3,0.16,1992
6556,1992-09-30 04:00:00,14.4,87,12.3,991.9,0.2,0.2,0.0,7.6,295.0,0.0,15.6,0.165,1992
6557,1992-09-30 05:00:00,14.6,89,12.8,992.1,0.3,0.3,0.0,6.8,288.0,0.0,15.9,0.169,1992
6558,1992-09-30 06:00:00,14.5,91,13.0,992.3,0.2,0.2,0.0,6.2,277.0,0.0,15.9,0.172,1992
6559,1992-09-30 07:00:00,14.5,92,13.2,993.2,0.2,0.2,2.0,6.5,276.0,0.02,15.7,0.175,1992
6560,1992-09-30 08:00:00,14.3,93,13.3,993.5,0.0,0.0,0.0,5.9,281.0,0.03,15.2,0.177,1992
6561,1992-09-30 09:00:00,15.4,91,14.0,994.4,0.0,0.0,0.0,4.5,284.0,0.04,16.0,0.177,1992
6562,1992-09-30 10:00:00,15.8,89,14.0,995.2,0.0,0.0,4.0,3.4,288.0,0.07,16.4,0.177,1992
6563,1992-09-30 11:00:00,19.0,74,14.3,995.8,0.0,0.0,23.0,2.2,279.0,0.12,18.7,0.178,1992
